pace,heart_rate,cadence,acceleration,time,label
301,143,157,0.114,1730,0
265,176,181,0.155,2805,2
268,172,178,0.149,3042,2
326,139,157,0.145,626,0
317,139,152,0.083,3590,0
305,159,171,0.127,436,1
323,151,161,0.123,235,0
279,180,171,0.171,1689,2
331,146,180,0.129,1426,0
276,157,173,0.126,1120,1
344,140,149,0.111,3165,0
347,148,156,0.103,2871,0
329,143,148,0.144,1783,0
263,172,181,0.164,857,2
299,157,169,0.144,1651,1
288,169,180,0.12,1735,1
321,138,146,0.076,1728,0
308,135,165,0.14,2130,1
327,137,156,0.121,589,0
344,143,150,0.105,2135,0
340,156,155,0.127,133,0
277,184,169,0.211,747,2
280,171,180,0.198,2745,2
239,169,176,0.168,2149,2
329,149,176,0.147,2722,1
268,179,183,0.162,632,2
329,157,143,0.103,208,0
353,144,155,0.119,2677,0
268,182,169,0.182,3338,2
273,181,181,0.198,1524,2
258,169,162,0.198,1548,2
318,149,152,0.108,2096,0
352,161,142,0.1,2937,0
305,160,160,0.121,3147,1
333,132,159,0.115,3423,0
265,196,188,0.158,2241,2
314,146,154,0.118,2973,0
264,165,184,0.199,2402,2
278,186,186,0.185,3178,2
326,164,159,0.127,184,1
310,174,160,0.097,111,1
326,152,141,0.132,1447,0
273,156,186,0.171,296,2
277,176,175,0.179,786,2
322,140,160,0.142,3381,0
314,124,160,0.118,1534,0
283,168,168,0.135,530,2
328,145,150,0.079,292,0
312,135,157,0.099,2339,0
261,184,170,0.176,529,2
292,163,166,0.158,1220,1
322,160,156,0.152,1846,1
324,139,170,0.131,935,0
284,164,188,0.149,1029,2
258,180,176,0.152,1679,2
313,165,164,0.148,2478,1
305,183,168,0.124,1596,1
336,141,152,0.096,2235,0
325,142,152,0.13,2945,0
336,140,151,0.131,3397,0
331,147,160,0.088,3582,0
330,154,157,0.095,1759,0
295,164,168,0.17,1552,1
273,149,181,0.183,454,2
282,178,186,0.166,508,2
335,159,153,0.135,2807,0
242,165,173,0.195,2872,2
268,193,182,0.211,3270,2
335,152,147,0.087,554,0
296,162,161,0.166,2348,1
306,140,167,0.144,1922,1
354,150,146,0.095,277,0
266,190,186,0.189,2890,2
308,159,163,0.155,1130,1
285,192,182,0.142,2061,2
272,177,181,0.191,707,2
309,166,164,0.166,443,1
318,150,174,0.144,745,1
277,168,190,0.174,515,2
263,162,186,0.163,2099,2
294,152,164,0.133,2704,1
284,174,183,0.2,1759,2
299,179,179,0.219,2770,2
323,165,175,0.121,3470,1
353,145,166,0.103,3489,0
333,154,155,0.084,398,0
319,135,152,0.163,3355,0
292,174,165,0.141,1756,1
302,154,158,0.154,1041,1
307,170,155,0.17,2186,1
299,144,161,0.141,706,1
287,170,183,0.191,1340,2
323,136,171,0.099,3568,0
318,162,174,0.164,2606,1
308,153,176,0.172,2528,1
307,170,163,0.141,412,1
295,143,160,0.108,1701,1
323,156,146,0.109,1135,0
302,171,184,0.172,646,2
322,133,157,0.12,808,0
331,143,155,0.103,956,0
304,153,161,0.158,3213,1
280,179,179,0.156,3425,2
325,170,162,0.146,2478,1
300,141,164,0.135,2730,0
244,171,175,0.127,1278,2
333,137,162,0.073,23,0
288,182,163,0.157,1382,1
292,153,165,0.146,2188,1
273,176,182,0.2,1639,2
313,157,158,0.111,987,0
279,161,176,0.154,306,2
257,189,176,0.154,3134,2
259,181,199,0.183,3315,2
313,158,178,0.131,3240,1
283,169,167,0.15,1250,1
297,149,154,0.146,3204,1
338,138,158,0.098,2807,0
267,171,182,0.165,298,2
273,177,169,0.182,2185,2
342,147,149,0.095,935,0
338,184,159,0.14,2609,0
286,165,158,0.152,3198,1
283,176,180,0.164,1337,2
317,155,162,0.109,297,0
331,136,142,0.09,105,0
282,167,169,0.187,899,2
308,160,161,0.136,2205,1
266,180,169,0.173,1049,2
268,173,170,0.197,708,2
318,166,149,0.086,806,0
279,182,177,0.187,2738,2
352,147,161,0.105,2773,0
333,143,157,0.131,1231,0
270,167,186,0.232,3231,2
317,128,153,0.109,1511,0
342,150,153,0.094,3340,0
319,139,156,0.088,3199,0
298,154,168,0.119,2290,1
335,141,151,0.057,794,0
322,153,149,0.113,2253,0
285,154,169,0.122,1141,1
312,148,158,0.093,2476,0
322,148,168,0.124,329,0
255,173,169,0.209,2028,2
312,142,147,0.113,3163,0
304,175,166,0.136,1388,1
267,186,175,0.192,2487,2
314,138,161,0.101,3543,0
337,149,142,0.125,1149,0
264,179,180,0.138,556,2
266,175,173,0.201,3095,2
265,170,161,0.15,784,1
296,161,170,0.148,1336,1
264,184,174,0.158,1634,2
297,154,179,0.149,389,1
331,152,153,0.148,3149,0
276,180,167,0.161,3172,2
329,152,159,0.112,961,0
338,139,162,0.119,3159,0
306,166,152,0.157,1397,1
305,157,166,0.135,2273,1
316,140,164,0.12,839,0
294,182,184,0.157,2335,2
294,153,157,0.157,2423,1
334,140,135,0.12,2275,0
282,154,176,0.148,1277,1
300,166,162,0.158,2291,1
269,164,169,0.161,2086,2
293,171,166,0.137,1820,1
293,162,173,0.14,3354,1
319,176,167,0.132,256,1
280,174,172,0.162,1739,2
257,175,181,0.187,2439,2
358,145,147,0.145,3138,0
345,130,151,0.161,1503,0
268,178,180,0.193,558,2
323,140,158,0.056,3556,0
325,153,148,0.122,3440,0
325,153,168,0.158,1519,1
334,150,155,0.068,3064,0
306,148,169,0.142,2956,1
279,183,199,0.17,1432,2
268,173,179,0.192,2874,2
283,188,166,0.187,114,2
305,172,153,0.133,1225,1
299,148,162,0.147,3460,1
281,153,178,0.202,3069,2
298,164,177,0.141,208,1
292,169,180,0.138,1480,1
260,182,174,0.167,1175,2
249,182,167,0.188,3104,2
320,146,150,0.132,671,0
309,149,178,0.124,997,1
259,180,183,0.19,602,2
300,160,179,0.131,2174,1
274,177,177,0.197,603,2
311,163,172,0.15,2438,1
258,183,171,0.189,2961,2
334,143,150,0.082,385,0
339,135,149,0.113,2511,0
249,173,185,0.148,553,2
276,172,172,0.176,1388,2
341,147,157,0.132,2861,0
277,157,164,0.139,1303,1
313,176,170,0.119,2407,1
297,164,166,0.12,2059,1
303,166,168,0.181,3390,1
308,166,158,0.181,1057,1
271,165,189,0.172,760,2
272,175,168,0.169,1003,2
263,164,180,0.16,787,2
271,168,172,0.185,667,2
327,158,150,0.109,2441,0
304,138,152,0.136,1550,1
350,147,146,0.084,1033,0
312,142,155,0.131,1550,1
342,150,154,0.085,2507,0
272,159,183,0.167,3562,2
309,146,156,0.114,88,0
329,160,158,0.123,2730,0
272,177,182,0.179,108,2
317,158,154,0.11,3401,0
317,144,165,0.192,434,1
305,152,167,0.116,1348,1
278,172,179,0.174,3590,2
299,171,173,0.135,1103,1
307,153,174,0.12,2078,1
304,149,147,0.124,2447,0
309,160,161,0.157,2325,1
332,156,166,0.1,2876,0
277,191,174,0.162,2373,2
300,166,162,0.109,3422,1
273,180,187,0.176,467,2
275,187,181,0.192,2044,2
328,150,138,0.105,1067,0
283,163,178,0.155,3015,2
294,177,163,0.135,473,1
255,179,176,0.189,991,2
305,159,151,0.162,214,1
274,185,173,0.175,794,2
304,166,157,0.177,1402,1
269,181,176,0.162,2157,2
334,145,158,0.091,2277,0
315,157,142,0.11,2227,0
314,164,168,0.166,1750,1
265,181,188,0.176,1937,2
268,162,166,0.193,3190,2
334,167,162,0.122,80,0
358,147,139,0.141,2259,0
367,153,148,0.118,1252,0
